mysql root@(none):covid_data> select max(Cases.`Deaths`) as `Deaths`, C.`Name` as `County_Name`, S.`Name` as `State_Name` from `County_Date_Cases` as Cases left join `County` as C on Cases.`County_ID` = C.`County_ID`  left join `State` as S on S.`State_ID` = C.`State_ID` group by C.`County_ID`;
+--------+-----------------------------------+----------------+
| Deaths | County_Name                       | State_Name     |
| 19     | Logan                             | Arkansas       |
| 111    | Lonoke                            | Arkansas       |
| 23     | Madison                           | Arkansas       |
| 30     | Marion                            | Arkansas       |
| 34     | Miller                            | Arkansas       |
| 112    | Mississippi                       | Arkansas       |
| 17     | Monroe                            | Arkansas       |
| 30     | Montgomery                        | Arkansas       |
| 24     | Nevada                            | Arkansas       |
| 26     | Newton                            | Arkansas       |
| 52     | Ouachita                          | Arkansas       |
| 9      | Perry                             | Arkansas       |
| 35     | Phillips                          | Arkansas       |
| 22     | Pike                              | Arkansas       |
| 76     | Poinsett                          | Arkansas       |
| 66     | Polk                              | Arkansas       |
| 102    | Pope                              | Arkansas       |
| 24     | Prairie                           | Arkansas       |
| 583    | Pulaski                           | Arkansas       |
| 50     | Randolph                          | Arkansas       |
| 164    | Saline                            | Arkansas       |
| 14     | Scott                             | Arkansas       |
| 15     | Searcy                            | Arkansas       |
| 260    | Sebastian                         | Arkansas       |
| 29     | Sevier                            | Arkansas       |
| 51     | Sharp                             | Arkansas       |
| 37     | St. Francis                       | Arkansas       |
| 30     | Stone                             | Arkansas       |
| 102    | Union                             | Arkansas       |
| 21     | Van Buren                         | Arkansas       |
| 330    | Washington                        | Arkansas       |
| 109    | White                             | Arkansas       |
| 11     | Woodruff                          | Arkansas       |
| 67     | Yell                              | Arkansas       |
| 1292   | Alameda                           | California     |
| 0      | Alpine                            | California     |
| 41     | Amador                            | California     |
| 169    | Butte                             | California     |
| 49     | Calaveras                         | California     |
| 13     | Colusa                            | California     |
| 708    | Contra Costa                      | California     |
| 5      | Del Norte                         | California     |
| 100    | El Dorado                         | California     |
| 1488   | Fresno                            | California     |
| 23     | Glenn                             | California     |
| 33     | Humboldt                          | California     |
| 638    | Imperial                          | California     |
| 37     | Inyo                              | California     |
| 942    | Kern                              | California     |
| 227    | Kings                             | California     |
| 41     | Lake                              | California     |
| 24     | Lassen                            | California     |
| 22029  | Los Angeles                       | California     |
| 214    | Madera                            | California     |
| 198    | Marin                             | California     |
| 7      | Mariposa                          | California     |
| 44     | Mendocino                         | California     |
| 413    | Merced                            | California     |
| 4      | Modoc                             | California     |
| 4      | Mono                              | California     |
| 331    | Monterey                          | California     |
| 75     | Napa                              | California     |
| 74     | Nevada                            | California     |
| 4226   | Orange                            | California     |
| 232    | Placer                            | California     |
| 6      | Plumas                            | California     |
| 3892   | Riverside                         | California     |
| 1510   | Sacramento                        | California     |
| 61     | San Benito                        | California     |
| 3153   | San Bernardino                    | California     |
| 3385   | San Diego                         | California     |
| 432    | San Francisco                     | California     |
| 1182   | San Joaquin                       | California     |
| 246    | San Luis Obispo                   | California     |
| 525    | San Mateo                         | California     |
| 423    | Santa Barbara                     | California     |
| 1823   | Santa Clara                       | California     |
| 187    | Santa Cruz                        | California     |
| 179    | Shasta                            | California     |
| 0      | Sierra                            | California     |
| 14     | Siskiyou                          | California     |
| 167    | Solano                            | California     |
| 303    | Sonoma                            | California     |
| 957    | Stanislaus                        | California     |
| 98     | Sutter                            | California     |
| 52     | Tehama                            | California     |
| 5      | Trinity                           | California     |
| 770    | Tulare                            | California     |
| 59     | Tuolumne                          | California     |
| 883    | Ventura                           | California     |
| 185    | Yolo                              | California     |
| 39     | Yuba                              | California     |
| 631    | Adams                             | Colorado       |
| 29     | Alamosa                           | Colorado       |
| 697    | Arapahoe                          | Colorado       |
| 1      | Archuleta                         | Colorado       |
| 4      | Baca                              | Colorado       |
| 21     | Bent                              | Colorado       |
| 248    | Boulder                           | Colorado       |
| 74     | Broomfield                        | Colorado       |
| 25     | Chaffee                           | Colorado       |
| 5      | Cheyenne                          | Colorado       |
| 2      | Clear Creek                       | Colorado       |
| 9      | Conejos                           | Colorado       |
| 2      | Costilla                          | Colorado       |
| 14     | Crowley                           | Colorado       |
| 1      | Custer                            | Colorado       |
| 60     | Delta                             | Colorado       |
| 770    | Denver                            | Colorado       |
| 0      | Dolores                           | Colorado       |
| 231    | Douglas                           | Colorado       |
| 21     | Eagle                             | Colorado       |
| 748    | El Paso                           | Colorado       |
| 12     | Elbert                            | Colorado       |
| 51     | Fremont                           | Colorado       |
| 39     | Garfield                          | Colorado       |
| 3      | Gilpin                            | Colorado       |
| 6      | Grand                             | Colorado       |
| 6      | Gunnison                          | Colorado       |
| 0      | Hinsdale                          | Colorado       |
| 17     | Huerfano                          | Colorado       |
| 0      | Jackson                           | Colorado       |
| 729    | Jefferson                         | Colorado       |
| 3      | Kiowa                             | Colorado       |
| 10     | Kit Carson                        | Colorado       |
| 37     | La Plata                          | Colorado       |
| 0      | Lake                              | Colorado       |
| 225    | Larimer                           | Colorado       |
| 11     | Las Animas                        | Colorado       |
| 3      | Lincoln                           | Colorado       |
| 65     | Logan                             | Colorado       |
| 201    | Mesa                              | Colorado       |
| 1      | Mineral                           | Colorado       |
| 22     | Moffat                            | Colorado       |
| 23     | Montezuma                         | Colorado       |
| 53     | Montrose                          | Colorado       |
| 90     | Morgan                            | Colorado       |
| 63     | Otero                             | Colorado       |
| 3      | Ouray                             | Colorado       |
| 5      | Park                              | Colorado       |
| 12     | Phillips                          | Colorado       |
| 4      | Pitkin                            | Colorado       |
| 21     | Prowers                           | Colorado       |
| 364    | Pueblo                            | Colorado       |
| 3      | Rio Blanco                        | Colorado       |
| 13     | Rio Grande                        | Colorado       |
| 19     | Routt                             | Colorado       |
| 4      | Saguache                          | Colorado       |
| 0      | San Juan                          | Colorado       |
| 0      | San Miguel                        | Colorado       |
| 2      | Sedgwick                          | Colorado       |
| 8      | Summit                            | Colorado       |
| 14     | Teller                            | Colorado       |
| 12     | Washington                        | Colorado       |
| 319    | Weld                              | Colorado       |
| 17     | Yuma                              | Colorado       |
| 2074   | Fairfield                         | Connecticut    |
| 2299   | Hartford                          | Connecticut    |
| 281    | Litchfield                        | Connecticut    |
| 342    | Middlesex                         | Connecticut    |
| 1933   | New Haven                         | Connecticut    |
| 413    | New London                        | Connecticut    |
| 170    | Tolland                           | Connecticut    |
| 182    | Windham                           | Connecticut    |
| 304    | Kent                              | Delaware       |
| 728    | New Castle                        | Delaware       |
| 441    | Sussex                            | Delaware       |
| 1030   | District of Columbia              | DC             |
| 236    | Alachua                           | Florida        |
| 56     | Baker                             | Florida        |
| 353    | Bay                               | Florida        |
| 52     | Bradford                          | Florida        |
| 764    | Brevard                           | Florida        |
| 2465   | Broward                           | Florida        |
| 46     | Calhoun                           | Florida        |
| 373    | Charlotte                         | Florida        |
| 414    | Citrus                            | Florida        |
| 315    | Clay                              | Florida        |
| 465    | Collier                           | Florida        |
| 161    | Columbia                          | Florida        |
| 76     | DeSoto                            | Florida        |
| 22     | Dixie                             | Florida        |
| 1208   | Duval                             | Florida        |
| 638    | Escambia                          | Florida        |
| 93     | Flagler                           | Florida        |
| 17     | Franklin                          | Florida        |
| 87     | Gadsden                           | Florida        |
| 37     | Gilchrist                         | Florida        |
| 16     | Glades                            | Florida        |
| 41     | Gulf                              | Florida        |
| 22     | Hamilton                          | Florida        |
| 31     | Hardee                            | Florida        |
| 75     | Hendry                            | Florida        |
| 403    | Hernando                          | Florida        |
| 308    | Highlands                         | Florida        |
| 1535   | Hillsborough                      | Florida        |
| 46     | Holmes                            | Florida        |
| 267    | Indian River                      | Florida        |
| 153    | Jackson                           | Florida        |
| 24     | Jefferson                         | Florida        |
| 24     | Lafayette                         | Florida        |
| 583    | Lake                              | Florida        |
| 889    | Lee                               | Florida        |
| 293    | Leon                              | Florida        |
| 41     | Levy                              | Florida        |
| 16     | Liberty                           | Florida        |
| 43     | Madison                           | Florida        |
| 612    | Manatee                           | Florida        |
| 855    | Marion                            | Florida        |
| 294    | Martin                            | Florida        |
| 5558   | Miami-Dade                        | Florida        |
| 46     | Monroe                            | Florida        |
| 116    | Nassau                            | Florida        |
| 333    | Okaloosa                          | Florida        |
| 83     | Okeechobee                        | Florida        |
| 1125   | Orange                            | Florida        |
| 459    | Osceola                           | Florida        |
| 2510   | Palm Beach                        | Florida        |
| 664    | Pasco                             | Florida        |
| 1480   | Pinellas                          | Florida        |
| 1175   | Polk                              | Florida        |
| 130    | Putnam                            | Florida        |
| 267    | Santa Rosa                        | Florida        |
| 750    | Sarasota                          | Florida        |
| 442    | Seminole                          | Florida        |
| 200    | St. Johns                         | Florida        |
| 551    | St. Lucie                         | Florida        |
| 243    | Sumter                            | Florida        |
| 133    | Suwannee                          | Florida        |
| 42     | Taylor                            | Florida        |
| 70     | Union                             | Florida        |
| 677    | Volusia                           | Florida        |
| 52     | Wakulla                           | Florida        |
| 82     | Walton                            | Florida        |
| 48     | Washington                        | Florida        |
| 65     | Appling                           | Georgia        |
| 19     | Atkinson                          | Georgia        |
| 35     | Bacon                             | Georgia        |
| 8      | Baker                             | Georgia        |
| 117    | Baldwin                           | Georgia        |
| 34     | Banks                             | Georgia        |
| 120    | Barrow                            | Georgia        |
| 198    | Bartow                            | Georgia        |
| 73     | Ben Hill                          | Georgia        |
| 41     | Berrien                           | Georgia        |
| 400    | Bibb                              | Georgia        |
| 49     | Bleckley                          | Georgia        |
| 32     | Brantley                          | Georgia        |
| 45     | Brooks                            | Georgia        |
| 35     | Bryan                             | Georgia        |
| 95     | Bulloch                           | Georgia        |
| 54     | Burke                             | Georgia        |
| 75     | Butts                             | Georgia        |
| 15     | Calhoun                           | Georgia        |
| 33     | Camden                            | Georgia        |
| 60     | Candler                           | Georgia        |
| 216    | Carroll                           | Georgia        |
| 67     | Catoosa                           | Georgia        |
| 27     | Charlton                          | Georgia        |
| 381    | Chatham                           | Georgia        |
| 12     | Chattahoochee                     | Georgia        |
| 67     | Chattooga                         | Georgia        |
| 277    | Cherokee                          | Georgia        |
| 124    | Clarke                            | Georgia        |
| 3      | Clay                              | Georgia        |
| 397    | Clayton                           | Georgia        |
| 25     | Clinch                            | Georgia        |
| 940    | Cobb                              | Georgia        |
| 155    | Coffee                            | Georgia        |
| 106    | Colquitt                          | Georgia        |
| 193    | Columbia                          | Georgia        |
| 40     | Cook                              | Georgia        |
| 170    | Coweta                            | Georgia        |
| 17     | Crawford                          | Georgia        |
| 64     | Crisp                             | Georgia        |
| 11     | Dade                              | Georgia        |
| 36     | Dawson                            | Georgia        |
| 866    | DeKalb                            | Georgia        |
| 65     | Decatur                           | Georgia        |
| 99     | Dodge                             | Georgia        |
| 41     | Dooly                             | Georgia        |
| 284    | Dougherty                         | Georgia        |
| 185    | Douglas                           | Georgia        |
| 44     | Early                             | Georgia        |
| 7      | Echols                            | Georgia        |
| 63     | Effingham                         | Georgia        |
| 63     | Elbert                            | Georgia        |
| 78     | Emanuel                           | Georgia        |
| 25     | Evans                             | Georgia        |
| 62     | Fannin                            | Georgia        |
| 149    | Fayette                           | Georgia        |
| 198    | Floyd                             | Georgia        |
| 161    | Forsyth                           | Georgia        |
| 44     | Franklin                          | Georgia        |
| 1164   | Fulton                            | Georgia        |
| 76     | Gilmer                            | Georgia        |
| 17     | Glascock                          | Georgia        |
| 163    | Glynn                             | Georgia        |
| 104    | Gordon                            | Georgia        |
| 56     | Grady                             | Georgia        |
| 53     | Greene                            | Georgia        |
| 989    | Gwinnett                          | Georgia        |
| 145    | Habersham                         | Georgia        |
| 410    | Hall                              | Georgia        |
| 58     | Hancock                           | Georgia        |
| 77     | Haralson                          | Georgia        |
| 50     | Harris                            | Georgia        |
| 50     | Hart                              | Georgia        |
| 17     | Heard                             | Georgia        |
| 276    | Henry                             | Georgia        |
| 227    | Houston                           | Georgia        |
| 26     | Irwin                             | Georgia        |
| 135    | Jackson                           | Georgia        |
| 33     | Jasper                            | Georgia        |
| 45     | Jeff Davis                        | Georgia        |
| 60     | Jefferson                         | Georgia        |
| 42     | Jenkins                           | Georgia        |
| 47     | Johnson                           | Georgia        |
| 48     | Jones                             | Georgia        |
| 50     | Lamar                             | Georgia        |
| 13     | Lanier                            | Georgia        |
| 161    | Laurens                           | Georgia        |
| 53     | Lee                               | Georgia        |
| 54     | Liberty                           | Georgia        |
| 24     | Lincoln                           | Georgia        |
| 12     | Long                              | Georgia        |
| 189    | Lowndes                           | Georgia        |
| 61     | Lumpkin                           | Georgia        |
| 27     | Macon                             | Georgia        |
| 50     | Madison                           | Georgia        |
| 15     | Marion                            | Georgia        |
| 43     | McDuffie                          | Georgia        |
| 15     | McIntosh                          | Georgia        |
| 65     | Meriwether                        | Georgia        |
| 10     | Miller                            | Georgia        |
| 76     | Mitchell                          | Georgia        |
| 93     | Monroe                            | Georgia        |
| 21     | Montgomery                        | Georgia        |
| 19     | Morgan                            | Georgia        |
| 74     | Murray                            | Georgia        |
| 379    | Muscogee                          | Georgia        |
| 204    | Newton                            | Georgia        |
| 62     | Oconee                            | Georgia        |
| 27     | Oglethorpe                        | Georgia        |
| 188    | Paulding                          | Georgia        |
| 49     | Peach                             | Georgia        |
| 72     | Pickens                           | Georgia        |
| 51     | Pierce                            | Georgia        |
| 32     | Pike                              | Georgia        |
| 83     | Polk                              | Georgia        |
| 39     | Pulaski                           | Georgia        |
| 50     | Putnam                            | Georgia        |
| 1      | Quitman                           | Georgia        |
| 45     | Rabun                             | Georgia        |
| 33     | Randolph                          | Georgia        |
| 443    | Richmond                          | Georgia        |
| 153    | Rockdale                          | Georgia        |
| 4      | Schley                            | Georgia        |
| 22     | Screven                           | Georgia        |
| 18     | Seminole                          | Georgia        |
| 164    | Spalding                          | Georgia        |
| 73     | Stephens                          | Georgia        |
| 22     | Stewart                           | Georgia        |
| 96     | Sumter                            | Georgia        |
| 17     | Talbot                            | Georgia        |
| 2      | Taliaferro                        | Georgia        |
| 61     | Tattnall                          | Georgia        |
| 23     | Taylor                            | Georgia        |
| 54     | Telfair                           | Georgia        |
| 43     | Terrell                           | Georgia        |
| 115    | Thomas                            | Georgia        |
| 120    | Tift                              | Georgia        |
| 105    | Toombs                            | Georgia        |
| 51     | Towns                             | Georgia        |
| 22     | Treutlen                          | Georgia        |
| 200    | Troup                             | Georgia        |
| 33     | Turner                            | Georgia        |
| 38     | Twiggs                            | Georgia        |
| 66     | Union                             | Georgia        |
| 118    | Upson                             | Georgia        |
| 79     | Walker                            | Georgia        |
| 228    | Walton                            | Georgia        |
| 150    | Ware                              | Georgia        |
| 13     | Warren                            | Georgia        |
| 72     | Washington                        | Georgia        |
| 79     | Wayne                             | Georgia        |
| 4      | Webster                           | Georgia        |
| 23     | Wheeler                           | Georgia        |
| 75     | White                             | Georgia        |
| 225    | Whitfield                         | Georgia        |
| 46     | Wilcox                            | Georgia        |
| 23     | Wilkes                            | Georgia        |
| 26     | Wilkinson                         | Georgia        |
| 64     | Worth                             | Georgia        |
| 53     | Hawaii                            | Hawaii         |
| 353    | Honolulu                          | Hawaii         |
| 0      | Kalawao                           | Hawaii         |
| 1      | Kauai                             | Hawaii         |
| 35     | Maui                              | Hawaii         |
| 437    | Ada                               | Idaho          |
| 4      | Adams                             | Idaho          |
| 96     | Bannock                           | Idaho          |
| 2      | Bear Lake                         | Idaho          |
| 7      | Benewah                           | Idaho          |
| 63     | Bingham                           | Idaho          |
| 17     | Blaine                            | Idaho          |
| 2      | Boise                             | Idaho          |
| 33     | Bonner                            | Idaho          |
| 148    | Bonneville                        | Idaho          |
| 10     | Boundary                          | Idaho          |
| 1      | Butte                             | Idaho          |
| 0      | Camas                             | Idaho          |
| 279    | Canyon                            | Idaho          |
| 11     | Caribou                           | Idaho          |
| 25     | Cassia                            | Idaho          |
| 0      | Clark                             | Idaho          |
| 12     | Clearwater                        | Idaho          |
| 3      | Custer                            | Idaho          |
| 12     | Elmore                            | Idaho          |
| 15     | Franklin                          | Idaho          |
| 14     | Fremont                           | Idaho          |
| 33     | Gem                               | Idaho          |
| 24     | Gooding                           | Idaho          |
| 17     | Idaho                             | Idaho          |
| 22     | Jefferson                         | Idaho          |
| 21     | Jerome                            | Idaho          |
| 183    | Kootenai                          | Idaho          |
| 7      | Latah                             | Idaho          |
| 9      | Lemhi                             | Idaho          |
| 6      | Lewis                             | Idaho          |
| 11     | Lincoln                           | Idaho          |
| 22     | Madison                           | Idaho          |
| 29     | Minidoka                          | Idaho          |
| 52     | Nez Perce                         | Idaho          |
| 3      | Oneida                            | Idaho          |
| 26     | Owyhee                            | Idaho          |
| 32     | Payette                           | Idaho          |
| 8      | Power                             | Idaho          |
| 32     | Shoshone                          | Idaho          |
| 4      | Teton                             | Idaho          |
| 124    | Twin Falls                        | Idaho          |
| 6      | Valley                            | Idaho          |
| 21     | Washington                        | Idaho          |
| 143    | Adams                             | Illinois       |
| 9      | Alexander                         | Illinois       |
| 30     | Bond                              | Illinois       |
| 86     | Boone                             | Illinois       |
| 12     | Brown                             | Illinois       |
| 90     | Bureau                            | Illinois       |
| 5      | Calhoun                           | Illinois       |
| 36     | Carroll                           | Illinois       |
| 31     | Cass                              | Illinois       |
| 136    | Champaign                         | Illinois       |
| 87     | Christian                         | Illinois       |
| 39     | Clark                             | Illinois       |
| 47     | Clay                              | Illinois       |
| 98     | Clinton                           | Illinois       |
| 94     | Coles                             | Illinois       |
| 10008  | Cook                              | Illinois       |
| 40     | Crawford                          | Illinois       |
| 30     | Cumberland                        | Illinois       |
| 29     | De Witt                           | Illinois       |
| 120    | DeKalb                            | Illinois       |
| 39     | Douglas                           | Illinois       |
| 1290   | DuPage                            | Illinois       |
| 58     | Edgar                             | Illinois       |
| 11     | Edwards                           | Illinois       |
| 80     | Effingham                         | Illinois       |
| 55     | Fayette                           | Illinois       |
| 54     | Ford                              | Illinois       |
| 78     | Franklin                          | Illinois       |
| 54     | Fulton                            | Illinois       |
| 5      | Gallatin                          | Illinois       |
| 45     | Greene                            | Illinois       |
| 67     | Grundy                            | Illinois       |
| 18     | Hamilton                          | Illinois       |
| 40     | Hancock                           | Illinois       |
| 12     | Hardin                            | Illinois       |
| 23     | Henderson                         | Illinois       |
| 87     | Henry                             | Illinois       |
| 64     | Iroquois                          | Illinois       |
| 71     | Jackson                           | Illinois       |
| 19     | Jasper                            | Illinois       |
| 118    | Jefferson                         | Illinois       |
| 66     | Jersey                            | Illinois       |
| 25     | Jo Daviess                        | Illinois       |
| 18     | Johnson                           | Illinois       |
| 775    | Kane                              | Illinois       |
| 198    | Kankakee                          | Illinois       |
| 96     | Kendall                           | Illinois       |
| 164    | Knox                              | Illinois       |
| 277    | LaSalle                           | Illinois       |
| 1005   | Lake                              | Illinois       |
| 33     | Lawrence                          | Illinois       |
| 82     | Lee                               | Illinois       |
| 91     | Livingston                        | Illinois       |
| 67     | Logan                             | Illinois       |
| 196    | Macon                             | Illinois       |
| 109    | Macoupin                          | Illinois       |
| 539    | Madison                           | Illinois       |
| 119    | Marion                            | Illinois       |
| 17     | Marshall                          | Illinois       |
| 42     | Mason                             | Illinois       |
| 38     | Massac                            | Illinois       |
| 52     | McDonough                         | Illinois       |
| 292    | McHenry                           | Illinois       |
| 196    | McLean                            | Illinois       |
| 12     | Menard                            | Illinois       |
| 33     | Mercer                            | Illinois       |
| 87     | Monroe                            | Illinois       |
| 76     | Montgomery                        | Illinois       |
| 99     | Morgan                            | Illinois       |
| 32     | Moultrie                          | Illinois       |
| 83     | Ogle                              | Illinois       |
| 285    | Peoria                            | Illinois       |
| 66     | Perry                             | Illinois       |
| 20     | Piatt                             | Illinois       |
| 53     | Pike                              | Illinois       |
| 3      | Pope                              | Illinois       |
| 6      | Pulaski                           | Illinois       |
| 4      | Putnam                            | Illinois       |
| 86     | Randolph                          | Illinois       |
| 47     | Richland                          | Illinois       |
| 331    | Rock Island                       | Illinois       |
| 64     | Saline                            | Illinois       |
| 264    | Sangamon                          | Illinois       |
| 17     | Schuyler                          | Illinois       |
| 1      | Scott                             | Illinois       |
| 37     | Shelby                            | Illinois       |
| 515    | St. Clair                         | Illinois       |
| 23     | Stark                             | Illinois       |
| 95     | Stephenson                        | Illinois       |
| 275    | Tazewell                          | Illinois       |
| 42     | Union                             | Illinois       |
| 136    | Vermilion                         | Illinois       |
| 15     | Wabash                            | Illinois       |
| 47     | Warren                            | Illinois       |
| 30     | Washington                        | Illinois       |
| 50     | Wayne                             | Illinois       |
| 35     | White                             | Illinois       |
| 192    | Whiteside                         | Illinois       |
| 986    | Will                              | Illinois       |
| 133    | Williamson                        | Illinois       |
| 474    | Winnebago                         | Illinois       |
| 73     | Woodford                          | Illinois       |
| 50     | Adams                             | Indiana        |
| 671    | Allen                             | Indiana        |
| 153    | Bartholomew                       | Indiana        |
| 13     | Benton                            | Indiana        |
| 27     | Blackford                         | Indiana        |
| 96     | Boone                             | Indiana        |
| 40     | Brown                             | Indiana        |
| 21     | Carroll                           | Indiana        |
| 102    | Cass                              | Indiana        |
